Date,Client,Amount,Project,Vendor Name,Memo
02/15/2015,Yale School of Medicine:YAM14016 YCCI,"2,600.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 10 days @ 260/day
02/27/2015,Yale School of Medicine:YAM14016 YCCI,"2,600.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 1/1/2015-1/15/2015 total 10 days @ 260/day
03/16/2015,Yale School of Medicine:YAM14016 YCCI,"2,600.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 3/1/2015-3/13/2015 total 10 days @ 260/day
03/31/2015,Yale School of Medicine:YAM14016 YCCI,"3,120.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 12 days @ 260/day
04/15/2015,Yale School of Medicine:YAM14016 YCCI,"2,860.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 11 days @ 260/day
04/30/2015,Yale School of Medicine:YAM14016 YCCI,"2,600.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 10 days @ 260/day
05/15/2015,Yale School of Medicine:YAM14016 YCCI,"2,340.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 9 days @ 260/day
05/29/2015,Yale School of Medicine:YAM14016 YCCI,"2,600.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 10 days @ 260/day
06/15/2015,Yale School of Medicine:YAM14016 YCCI,"2,860.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 10 days @ 260/day
07/01/2015,Yale School of Medicine:YAM14016 YCCI,"2,860.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 6/16-6/30/2015 total 11 days @ 260/day
07/15/2015,Yale School of Medicine:YAM14016 YCCI,"2,600.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 7/1/2015-7/15/2015 total 10 days @ 260/day
07/31/2015,Yale School of Medicine:YAM14016 YCCI,"2,600.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 7/15/2015-7/31/2015 total 10 days @ 260/day
08/31/2015,Yale School of Medicine:YAM14016 YCCI,"2,600.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 8/1/2015-8/15/2015 total 10 days @ 260/day
09/15/2015,Yale School of Medicine:YAM14016 YCCI,"2,860.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 9/1/2015-9/15/2015 total 11 days @ 260/day
09/30/2015,Yale School of Medicine:YAM14016 YCCI,"2,860.00  ",YAM14016,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 11 days @ 260/day
10/15/2015,Yale School of Medicine:YAM15005 - Workday Integration,"2,860.00  ",YAM15005,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 11 days @ 260/day
11/01/2015,Yale School of Medicine:YAM15005 - Workday Integration,"2,860.00  ",YAM15005,Rembros Corporation,Acct # 7860688501;10/16-10/31 total 11 days @ 260/day
11/13/2015,Yale School of Medicine:YAM15005 - Workday Integration,"2,600.00  ",YAM15005,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 10 days @ 260/day
11/30/2015,Yale School of Medicine:YAM15005 - Workday Integration,"1,430.00  ",YAM15005,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 5.5 days @ 260/day
12/15/2015,Yale School of Medicine:YAM15005 - Workday Integration,"5,720.00  ",YAM15005,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 22.5days @ 260/day
01/15/2016,Yale School of Medicine:YAM15005 - Workday Integration,"2,340.00  ",YAM15005,Rembros Corporation,Acct # 7860688501; 1/1/2016-1/15/2016 total 9 days @ 260/day
01/15/2016,Yale School of Medicine:YAM15013 Media Library,"2,080.00  ",YAM15013,Rembros Corporation,Acct # 7860688501; 1/1/2016-1/15/2016 total 8 days @ 260/day
01/15/2016,Yale School of Medicine:YAM15013 Media Library,"1,300.00  ",YAM15013,Rembros Corporation,Acct # 7860688501; 1/1/2016-1/15/2016 total 5 days @ 260/day
12/15/2015,Yale School of Medicine:YAM15014 - Tech Calendar,"2,080.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 8 days @ 260/day
07/15/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"8,320.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 7/1/2015-7/15/2015 total 32 days @ 260/day
07/31/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"8,060.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 7/15/2015-7/31/2015 total 31 days @ 260/day
08/31/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"9,360.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 8/1/2015-8/15/2015 total 36 days @ 260/day
09/15/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"7,540.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 9/1/2015-9/15/2015 total 29 days @ 260/day
09/30/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"5,720.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 22 days @ 260/day
10/15/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"5,720.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 22 days @ 260/day
11/01/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"5,200.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 10/16-10/31 total 20 days @ 260/d19
11/13/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"4,940.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 22 days @ 260/d19
11/30/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,"7,150.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 27.5days @ 260/day
02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"2,080.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 12/16/2015-12/31/2015 total 8 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,600.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 12/16/2015-12/31/2015 total 10 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,340.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 12/16/2015-12/31/2015 total 9 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"1,300.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 1/16/2016-1/29/2016 total 5 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,600.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 1/16/2016-1/29/2016 total 10 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"2,340.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 1/16/2016-1/29/2016 total 9 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,600.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 1/16/2016-1/29/2016 total 10 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"2,860.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 2/1/2016-2/15/2016 total 11 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,600.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 2/1/2016-2/15/2016 total 10 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"2,860.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 2/1/2016-2/15/2016 total 11 days @ 260/day
02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,860.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 2/1/2016-2/15/2016 total 11 days @ 260/day
03/03/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"2,600.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 2/16/2016-2/29/2016 total 10 days @ 260/day
03/03/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,600.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 2/16/2016-2/29/2016 total 10 days @ 260/day
03/03/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"2,600.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 2/16/2016-2/29/2016 total 10 days @ 260/day
03/03/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,080.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 2/16/2016-2/29/2016 total 8 days @ 260/day
03/19/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"2,080.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 3/1/2016-3/15/2016 total 8 days @ 260/day
03/19/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,600.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 3/1/2016-3/15/2016 total 10 days @ 260/day
03/19/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,"2,080.00  ",YAM15019,Rembros Corporation,Acct # 7860688501; 3/1/2016-3/15/2016 total 8 days @ 260/day
03/19/2016,Yale School of Medicine:YAM15014 - Tech Calendar,"2,340.00  ",YAM15014,Rembros Corporation,Acct # 7860688501; 3/1/2016-3/15/2016 total 9 days @ 260/day
