,Date,Client,Account,Name,Memo/Description,Amount
,04/15/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 11 days @ 260/day,"2,860.00  "
,04/30/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 10 days @ 260/day,"2,600.00  "
,05/15/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 9 days @ 260/day,"2,340.00  "
,05/29/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 10 days @ 260/day,"2,600.00  "
,06/15/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/16/2015-3/31/2015 total 10 days @ 260/day,"2,860.00  "
,07/01/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 6/16-6/30/2015 total 11 days @ 260/day,"2,860.00  "
,07/15/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 7/1/2015-7/15/2015 total 10 days @ 260/day,"2,600.00  "
,07/31/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 7/15/2015-7/31/2015 total 10 days @ 260/day,"2,600.00  "
,08/31/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 8/1/2015-8/15/2015 total 10 days @ 260/day,"2,600.00  "
,09/15/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/1/2015-9/15/2015 total 11 days @ 260/day,"2,860.00  "
,09/30/2015,Yale School of Medicine:YAM14016 YCCI,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 11 days @ 260/day,"2,860.00  "
   Total for YAM14016 YCCI,,,,,,"$ 44,460.00  "
   YAM15005 - Workday Integration,,,,,,
,10/15/2015,Yale School of Medicine:YAM15005 - Workday Integration,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 11 days @ 260/day,"2,860.00  "
,11/01/2015,Yale School of Medicine:YAM15005 - Workday Integration,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501;10/16-10/31 total 11 days @ 260/day,"2,860.00  "
,11/13/2015,Yale School of Medicine:YAM15005 - Workday Integration,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 10 days @ 260/day,"2,600.00  "
,11/30/2015,Yale School of Medicine:YAM15005 - Workday Integration,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 5.5 days @ 260/day,"1,430.00  "
,12/15/2015,Yale School of Medicine:YAM15005 - Workday Integration,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 22.5days @ 260/day,"5,720.00  "
,01/15/2016,Yale School of Medicine:YAM15005 - Workday Integration,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/1/2016-1/15/2016 total 9 days @ 260/day,"2,340.00  "
   Total for YAM15005 - Workday Integration,,,,,,"$ 17,810.00  "
   YAM15013 Media Library,,,,,,
,01/15/2016,Yale School of Medicine:YAM15013 Media Library,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/1/2016-1/15/2016 total 8 days @ 260/day,"2,080.00  "
,01/15/2016,Yale School of Medicine:YAM15013 Media Library,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/1/2016-1/15/2016 total 5 days @ 260/day,"1,300.00  "
   Total for YAM15013 Media Library,,,,,,"$ 3,380.00  "
   YAM15014 - Tech Calendar,,,,,,
,12/15/2015,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 8 days @ 260/day,"2,080.00  "
   Total for YAM15014 - Tech Calendar,,,,,,"$ 2,080.00  "
   YAM15019 - PFS Maintenance,,,,,,
,07/15/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 7/1/2015-7/15/2015 total 32 days @ 260/day,"8,320.00  "
,07/31/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 7/15/2015-7/31/2015 total 31 days @ 260/day,"8,060.00  "
,08/31/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 8/1/2015-8/15/2015 total 36 days @ 260/day,"9,360.00  "
,09/15/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/1/2015-9/15/2015 total 29 days @ 260/day,"7,540.00  "
,09/30/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 22 days @ 260/day,"5,720.00  "
,10/15/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 22 days @ 260/day,"5,720.00  "
,11/01/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 10/16-10/31 total 20 days @ 260/d19,"5,200.00  "
,11/13/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 22 days @ 260/d19,"4,940.00  "
,11/30/2015,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 9/15/2015-9/30/2015 total 27.5days @ 260/day,"7,150.00  "
   Total for YAM15019 - PFS Maintenance,,,,,,"$ 62,010.00  "
Total for Yale School of Medicine,,,,,,"$ 245,180.00  "
Not Specified,,,,,,
,08/14/2015,?,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 8/1/2015-8/15/2015 total 9 days @ 260/day,"2,340.00  "
,08/14/2015,?,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 8/1/2015-8/15/2015 total 20 days @ 260/day,"5,200.00  "
,12/01/2015,?,COGS Project Related Expense:Vendor Services,Rembros Corporation,Bank fee,30.00  
,02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 12/16/2015-12/31/2015 total 8 days @ 260/day,"2,080.00  "
,02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 12/16/2015-12/31/2015 total 10 days @ 260/day,"2,600.00  "
,02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 12/16/2015-12/31/2015 total 9 days @ 260/day,"2,340.00  "
,02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/16/2016-1/29/2016 total 5 days @ 260/day,"1,300.00  "
,02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/16/2016-1/29/2016 total 10 days @ 260/day,"2,600.00  "
,02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/16/2016-1/29/2016 total 9 days @ 260/day,"2,340.00  "
,02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 1/16/2016-1/29/2016 total 10 days @ 260/day,"2,600.00  "
,02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 2/1/2016-2/15/2016 total 11 days @ 260/day,"2,860.00  "
,02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 2/1/2016-2/15/2016 total 10 days @ 260/day,"2,600.00  "
,02/27/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 2/1/2016-2/15/2016 total 11 days @ 260/day,"2,860.00  "
,02/27/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 2/1/2016-2/15/2016 total 11 days @ 260/day,"2,860.00  "
,03/03/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 2/16/2016-2/29/2016 total 10 days @ 260/day,"2,600.00  "
,03/03/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 2/16/2016-2/29/2016 total 10 days @ 260/day,"2,600.00  "
,03/03/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 2/16/2016-2/29/2016 total 10 days @ 260/day,"2,600.00  "
,03/03/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 2/16/2016-2/29/2016 total 8 days @ 260/day,"2,080.00  "
,03/19/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2016-3/15/2016 total 8 days @ 260/day,"2,080.00  "
,03/19/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2016-3/15/2016 total 10 days @ 260/day,"2,600.00  "
,03/19/2016,Yale School of Medicine:YAM15019 - PFS Maintenance,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2016-3/15/2016 total 8 days @ 260/day,"2,080.00  "
,03/19/2016,Yale School of Medicine:YAM15014 - Tech Calendar,COGS Project Related Expense:Vendor Services,Rembros Corporation,Acct # 7860688501; 3/1/2016-3/15/2016 total 9 days @ 260/day,"2,340.00  "
Total for Not Specified,,,,,,"$ 53,590.00  "
TOTAL,,,,,,"$ 298,770.00  "
,,,,,,
,,,,,,
"Monday, Mar 28, 2016 12:26:25 PM GMT-7 - Accrual Basis",,,,,,
